,C
KRT7,0.32492329612581966
TACSTD2,0.35338822766046557
KRT15,0.41785834787665005
SERPINA3,0.43855602449606573
DSP,0.4568924381678723
ERBB2,0.4778613408751333
KRT8,0.4959855499594337
POSTN,0.49859763559651116
CDH1,0.49967272663836615
CCDC80,0.5176251740933984
MMP2,0.5206011229973316
KRT14,0.5375510169712154
KRT23,0.5383199052262855
CEACAM6,0.5408128042318651
KRT6B,0.5570635607773706
S100A14,0.5603981745491765
CCND1,0.564333360981161
KRT5,0.5660964929737151
EPCAM,0.5666241332065192
DSC2,0.570570746020756
KRT16,0.5851066815777964
GATA3,0.5868221287460483
LUM,0.5887048727272381
SFRP1,0.5943092756007341
CD9,0.5972111239176685
SCD,0.5998574763996094
BASP1,0.6190007445489873
PTN,0.6257563715838942
MYLK,0.6320422511791346
CLDN4,0.6359351678244053
FBLN1,0.6481926855797485
DST,0.6498153996480812
ELF3,0.6524586887284337
CXCL12,0.6583537124075941
ACTA2,0.6585150711268873
FOXA1,0.6714372793696283
TPD52,0.6782255754591817
ELF5,0.6799539128703422
CRISPLD2,0.7082540211921975
JUP,0.7090512975980144
KIT,0.7270755562470856
CTTN,0.7296894285099426
FLNB,0.7318745071366501
ADH1B,0.7329336362565178
GJB2,0.7414792694957689
LYPD3,0.7418813758807804
PIGR,0.743783758635683
TCIM,0.7440574647827926
MLPH,0.746810467731546
ANKRD30A,0.7488868551729786
MYO5B,0.7508895827307277
SLC5A6,0.7514227802627377
SFRP4,0.7520338946711964
IGF1,0.7542624091761548
CXCR4,0.7543505512674467
PDGFRB,0.7546510238968066
ADAM9,0.754946491794311
IL7R,0.7579786057143567
MYH11,0.7607617102025436
AGR3,0.7663597166659574
AQP1,0.7694899162085508
PTGDS,0.7716239860040933
SERHL2,0.7729698722159608
ENAH,0.7782002388093275
PTPRC,0.782847129410035
RUNX1,0.7856399379026828
CD68,0.7863136447294623
PDGFRA,0.7870239015752346
LRRC15,0.7911116471346575
FASN,0.791932095116237
CCDC6,0.7937998973860606
TRAC,0.7995555363671742
ZEB2,0.8019610533695463
DPT,0.8073190839153835
CD3E,0.8129768513322189
VWF,0.8151638721659904
C15orf48,0.8179244930250543
IL2RG,0.8207215115056806
ADIPOQ,0.8261585806531884
NARS,0.8262393959512009
CAV1,0.8275828131457306
ALDH1A3,0.8332813170027472
MDM2,0.8367185702744446
WARS,0.8381102829095824
PECAM1,0.8382045368595233
CD93,0.8402987543156363
AVPR1A,0.8405620659185136
TFAP2A,0.8443970100582054
CAVIN2,0.844900124334547
CYTIP,0.8451899892875216
PDK4,0.8457743022054569
LYZ,0.8459524703810742
SQLE,0.8460450455266638
CCL5,0.8461098752729528
TAC1,0.8464145591085259
ZEB1,0.8467022656663431
SVIL,0.8479060676896383
TRAPPC3,0.8521523003835975
ACTG2,0.8531085146966652
EGFR,0.8540759609911055
FOXC2,0.855678609547174
DMKN,0.8559112782362058
ABCC11,0.8571650009480819
MRC1,0.858940603917257
KLF5,0.8603972450845877
MEDAG,0.8622683224670278
C5orf46,0.8639846500492294
TOMM7,0.8654680299939289
C1QA,0.8658292364529658
TCF4,0.8700382701939323
SMS,0.8708582117504184
S100A8,0.8729305933942212
ESR1,0.875965495061773
MZB1,0.8761199802296316
S100A4,0.8774500191504601
TUBB2B,0.8802681128930202
CXCL16,0.8826138094722015
TCEAL7,0.8828975145688317
SDC4,0.883914527474615
CLCA2,0.8867076622817843
GPR183,0.8869527935044952
CD247,0.8871486010179678
AIF1,0.8872110721485102
LPL,0.8879842217964161
ITM2C,0.889041626656083
CD14,0.8900238316740365
MMRN2,0.8917353425637178
CCL8,0.8931347808367189
FGL2,0.8936745679313621
ITGAX,0.8944445215292733
EDN1,0.8953128889522931
USP53,0.896158109274236
KDR,0.896564984713131
AKR1C1,0.8970879887010533
FCER1G,0.8973566409530619
TRIB1,0.897509613810185
TPSAB1,0.8977197091636354
BACE2,0.8987084621569013
RAMP2,0.8996890471535973
CCR7,0.9018653944996488
IL2RA,0.902342688514614
CD163,0.9031344491965678
FAM107B,0.9033260061975138
CD3G,0.9048834760412312
CXCL5,0.9055261549798032
PPARG,0.905989043139923
CD3D,0.9063943160748288
MMP1,0.9080339902135466
ANKRD29,0.9087567903154685
FCGR3A,0.9091821454372475
KLRB1,0.9114788558957424
C6orf132,0.9117689770031618
SELL,0.9118948641487299
CENPF,0.9126538246105401
GZMB,0.9132730004300235
CD83,0.913757860497951
POLR2J3,0.9143279283567544
NOSTRIN,0.9147101284163686
FBLIM1,0.9167199679639008
GZMA,0.9173333883465494
LIF,0.9176070420977613
SERPINB9,0.9178281572924851
CDC42EP1,0.9183994959522105
FSTL3,0.9195411022779992
CD8A,0.9206183211461159
TNFRSF17,0.9210392725934834
LDHB,0.9218847582036671
PCOLCE,0.9223064884921063
GNLY,0.9226987019314151
SLAMF7,0.922883988557971
CEACAM8,0.9252637894949157
CD4,0.9258313318402299
DUSP5,0.9259882139514165
TMEM147,0.926154702393698
SLC25A37,0.9275557953014677
QARS,0.9276389402952332
AR,0.9280885073909232
SEC11C,0.9284199400257965
TRAF4,0.9286738349545149
TCF7,0.9292505515520388
HOXD8,0.9293160707880607
C1QC,0.9307294962143142
CD69,0.9322323921755438
MNDA,0.9327591948724643
ZNF562,0.9330475745709675
SMAP2,0.9333251558481116
TENT5C,0.9341468548968623
FCER1A,0.9342822398450051
KLRD1,0.93439996557728
PRF1,0.9359454929754819
CTSG,0.9363405887327234
CLEC14A,0.9367222537696317
FAM49A,0.9376569587686161
PDE4A,0.9397567078679782
SH3YL1,0.9400207207319681
EDNRB,0.942058035697643
OCIAD2,0.9420616189756217
LTB,0.9425409309954694
SLAMF1,0.9426598291989422
CLDN5,0.9437155319866537
IGSF6,0.9439474386334205
BANK1,0.9446735790273754
NCAM1,0.9450826738048195
NKG7,0.9451141490696947
CD274,0.9451181960555852
CPA3,0.9460357316060735
GLIPR1,0.9463361955982138
RORC,0.9473209737800784
CD1C,0.947464277860843
CCPG1,0.9480905338584283
CD19,0.9483235676120013
DUSP2,0.9486626920404899
MAP3K8,0.949307317967458
VOPP1,0.9496234761523943
PGR,0.9508984882414596
RHOH,0.9513298598959745
LPXN,0.9514519862615742
HOOK2,0.9531077194792243
CD27,0.9531193364664994
TOP2A,0.9533050375461108
