,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
KRT7,0.6870491634543998,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0003058469670527185,,,0.011563469779813802
TACSTD2,0.6712523087773952,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0002845116983906229,,,0.011563469779813802
KRT15,0.5859929414314119,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00021861775753882304,,,0.011563469779813802
SERPINA3,0.5765312797564123,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00021575884530832784,,,0.011563469779813802
DSP,0.5619449870621813,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00025120593986862976,,,0.011563469779813802
ERBB2,0.5454092901668246,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00019263500104778377,,,0.011563469779813802
KRT8,0.5399141683217504,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0002185790562641963,,,0.011563469779813802
POSTN,0.5272929723062333,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00016549619450805344,,,0.011563469779813802
CDH1,0.5258347971054059,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0002686984194294631,,,0.011563469779813802
CCDC80,0.5074649282569493,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00017604100430951584,,,0.011563469779813802
MMP2,0.5013889498607375,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00016206750862221775,,,0.011563469779813802
CEACAM6,0.49449012980797696,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00020803245038216394,,,0.011563469779813802
KRT14,0.462647376230625,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001931760909933485,,,0.011563469779813802
EPCAM,0.46005495635243493,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00020176335826966717,,,0.011563469779813802
CCND1,0.45938257106599856,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00016876175830672388,,,0.011563469779813802
S100A14,0.4552179050846754,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001652999063944488,,,0.011563469779813802
KRT6B,0.452990956350122,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00022013620138540773,,,0.011563469779813802
GATA3,0.44660442085198193,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00022084311897718268,,,0.011563469779813802
KRT23,0.4445228086551022,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0002748101176240487,,,0.011563469779813802
KRT5,0.4413498734243727,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.000205381029239808,,,0.011563469779813802
